city,cloudiness,co,date,delay,event_code,event_desc,feels_like,gb-defra-index,hour,humidity,iconCategory,latitude,length,longitude,magnitudeOfDelay,minute,o3,pm10,pm2_5,pollution_level,pressure,so2,temperature,us-epa-index,uv,visibility,weather_desc,wind_deg,weather_main,wind_speed
ha noi,28,954.2358519111368,2025-02-08,106,106,Stationary traffic,302.30965000200064,3,20,38,6,15.741012049555913,64.11834883551843,109.08424729967214,3,55,87.4648792709864,99.84226036466166,45.24931452597985,Low,1005.9854144656986,15.56568637344683,299.2573673010913,2,3,15644,rain,275,Clouds,8.48734191151235
ho chi minh city,98,1012.2108666622505,2025-02-09,210,107,Other,295.13651578612814,1,5,38,1,17.658011075461953,263.5119701732605,107.55068240126218,1,15,94.48850814344969,78.55079686925043,68.29560448570702,Moderate,1020.4798269025354,7.51311797866699,297.8833552515485,4,4,20000,scattered clouds,356,Rain,2.0499119357468953
ho chi minh city,31,1207.403206547902,2025-02-10,71,102,Accident,295.18589426754784,2,4,100,2,17.365462429279624,271.4551566452202,108.54768495387191,2,21,52.95565801417308,76.05733555429717,126.29511247810791,High,1005.0295067512146,19.801660241164562,310.0970536716071,5,3,8008,thunderstorm,51,Clear,1.80520397024749
ha noi,58,1072.3479433510618,2025-02-11,82,102,Accident,293.4421306954271,3,10,66,4,15.045865858001289,257.7258638463062,108.45264246718104,1,31,134.7155481639181,52.00008476005383,117.55148274964888,Moderate,1013.749859016237,17.62037691713668,304.1770687352058,4,1,20000,scattered clouds,24,Rain,5.752598051258365
ho chi minh city,21,1028.7981666389235,2025-02-12,68,108,Road maintenance,303.0244126756408,7,18,71,8,17.162873791565417,86.26916623546357,109.43555659874144,2,32,79.72897537133326,59.29496085479168,110.88778869014098,Low,1009.2985930771455,24.992263817702582,305.81768002291415,1,0,16323,rain,81,Clear,11.212808598205863
ha noi,71,1081.2957978717363,2025-02-13,190,108,Accident,293.28924045636796,9,19,60,5,16.112792153498148,191.0177856562362,108.94418677301701,1,57,130.36001142190324,92.32044316324969,75.80114370545903,Low,1029.4086042951558,21.61227755195266,294.27630102818387,1,6,12329,clear sky,331,Clouds,7.082454669344064
ha noi,2,1379.1355644112934,2025-02-14,60,101,Other,297.38982581503154,7,13,39,7,15.504975124326803,201.65450562430573,109.72411951909419,1,30,110.78136615019294,131.9756058983711,114.04838779771748,Moderate,1018.69437816584,22.021608123431566,304.91030046771914,2,8,14619,thunderstorm,302,Thunderstorm,6.8583095233347295
ha noi,13,872.537827638432,2025-02-15,0,103,Queuing traffic,298.23181786766077,2,12,66,6,17.642751640218936,231.3293355869629,109.67106828781003,2,17,71.14110495949875,139.81206848912487,90.64412002698235,Low,1016.7050371952512,16.318675186802373,301.29342555923523,4,4,17228,scattered clouds,37,Thunderstorm,2.451935915932375
da nang,96,1517.6837329312546,2025-02-16,168,100,Closed,309.1710058464961,2,8,58,5,16.500565237433303,81.32514035479299,109.2860179124301,1,16,43.30253185315094,152.0155694079069,87.27639091813347,Low,1013.6545060493112,24.217225861615603,303.45745140855416,2,1,12665,rain,264,Clear,5.695777717105492
ha noi,36,1251.5334045773961,2025-02-17,104,108,Queuing traffic,301.4932569214719,6,15,31,3,16.72389753862028,146.1318955779678,108.32752007031912,4,47,97.25003074174955,135.4071388454277,137.02842698761708,Moderate,1012.6618487079986,29.513948277135114,300.0084295410782,5,0,18939,rain,6,Rain,5.866881980795895
ho chi minh city,38,1459.437491281568,2025-02-18,188,100,Other,289.9563816282664,2,4,63,2,17.606857222333172,259.5251072377564,109.32629404268265,1,47,146.51077982272673,118.7749879742806,153.73972138494605,Moderate,1008.5958705643224,22.368513586317018,309.07250339186515,3,0,12564,thunderstorm,334,Thunderstorm,4.421006516876744
ho chi minh city,33,1081.1042827303388,2025-02-19,88,102,Stationary traffic,294.3954283832237,5,19,68,6,15.919871966613629,86.78914637910528,108.25413053338661,4,38,158.32396316481885,58.96370702511175,117.26988431611122,Moderate,1006.3071774018533,31.88569000213771,292.6191537822606,3,1,20000,clear sky,339,Thunderstorm,3.0999203698752
da nang,52,1110.863389295584,2025-02-20,299,101,Heavy congestion,310.907847222039,5,16,45,8,16.387161576803123,210.49525643949914,107.23948881551554,3,15,145.17000581744853,140.71449454987174,116.78448229570701,Low,1001.615632820998,10.91914354905845,306.6823247956322,1,2,13532,rain,98,Thunderstorm,9.77552883583149
da nang,79,1539.5112497646871,2025-02-21,0,107,Heavy congestion,308.077296071993,4,1,60,8,15.810508584822594,310.7950104650256,109.44250519451857,3,18,97.7438121611286,116.15324555101901,59.07265361451692,Moderate,1018.1415384391416,11.448055649279485,312.0726403789481,3,6,15432,rain,239,Clear,1.0929011632216312
da nang,11,1452.7485182611092,2025-02-22,203,105,Accident,301.9475404137159,10,2,40,9,16.080760818801895,129.16562298512036,109.73230814317479,4,32,76.35114403985446,80.36941314704652,88.98952108803654,Moderate,995.1168952030696,9.433503218970195,304.78767668421455,1,6,9523,rain,292,Clear,8.09998104853475
ho chi minh city,50,1016.6900738775769,2025-02-23,118,102,Accident,295.84142312317545,5,4,48,5,15.711503632674402,257.66232956618694,108.4628733828181,3,40,123.52562428541232,145.01756375853827,65.47907632633614,High,1010.3863222412574,18.43447846702698,307.9464556492291,2,1,20000,thunderstorm,187,Clear,6.462973153065316
da nang,81,1127.0122545662734,2025-02-24,146,109,Queuing traffic,300.2476401611799,2,22,60,2,16.3058684575103,91.16589303344641,109.23393137639268,2,10,128.6825943430035,90.84701680248519,71.77216896310944,High,1022.3917507292128,13.619212192907844,303.85851400827295,1,10,18927,scattered clouds,320,Thunderstorm,7.35271460648647
ha noi,69,833.1811034025241,2025-02-25,284,103,Closed,288.5204462315806,1,13,91,5,15.094389450438968,280.94994144984435,108.16503145533457,2,13,88.87411644047091,115.58481038679906,91.18399808574044,Low,1010.2891753291441,25.719577598328357,299.87130837287754,3,2,20000,rain,235,Clear,3.9547706164824947
ha noi,38,955.2761706232152,2025-02-26,166,104,Road maintenance,306.0495834866475,9,12,93,8,15.846661874934037,185.62238127537066,109.55907468415148,4,51,79.0982337117776,97.48418698929346,95.24362100055137,Moderate,994.5335210844822,22.603385972007082,303.7605450708462,5,7,5000,thunderstorm,333,Clear,10.775982329161614
ha noi,95,1160.9263118409453,2025-02-27,153,108,Accident,308.10914973085306,5,11,44,3,15.250818826362327,261.6551784459172,107.91514478990167,2,26,86.73620487493568,68.25409028273153,71.01466672533209,High,1007.7953195913884,28.96455495536959,289.63642277103355,1,8,8370,clear sky,19,Rain,1.7969607295848176
ha noi,91,813.2646911975169,2025-02-28,221,104,Road maintenance,311.4729581504207,10,3,68,3,16.866137592383676,150.9384664372396,110.04254313252223,4,36,147.26061922363377,80.15342038183202,142.5730572353534,High,1030.6337753807181,14.056914859681584,302.7374921232114,3,5,6788,rain,309,Clear,5.74423466959303
ho chi minh city,57,1208.9091226177372,2025-03-01,177,100,Heavy congestion,306.76686443491275,1,12,57,1,15.999940040665296,219.80334526098991,107.13142792621946,3,21,115.06139757119723,135.53958068520228,132.8679086906191,High,1009.2797734190958,11.122480644902113,293.605598416881,2,1,17160,scattered clouds,326,Clouds,8.902362065057053
ho chi minh city,3,1309.9061257705914,2025-03-02,53,105,Queuing traffic,292.19394140215064,4,9,54,3,16.612629415124253,92.3600318098922,109.57747996899849,1,0,78.68114517422326,79.10499468883613,109.62808271745058,High,1012.7494025778014,25.487119106193983,294.76428195361495,1,2,8614,thunderstorm,9,Rain,5.676569654071239
da nang,35,1388.457269776308,2025-03-03,97,103,Accident,293.72178584458595,5,21,27,9,15.281121072294804,57.0249419071755,108.45345381309139,4,53,143.69458879096064,128.93528726306423,103.81252161337454,Moderate,1011.2120802382476,28.760047611306877,309.01054726223333,3,7,15217,thunderstorm,270,Clear,6.626389042152697
da nang,63,844.1292332896296,2025-03-04,117,103,Closed,305.1017187297237,9,22,53,5,15.726769392241941,200.97613443870367,108.61440048399201,4,19,86.8719629261252,109.08527859482226,99.15281656689749,Moderate,1011.0231879569407,37.26066658130466,306.8823710445612,4,6,8782,thunderstorm,25,Thunderstorm,7.303244910889042
ho chi minh city,48,965.5906394751668,2025-03-05,101,107,Stationary traffic,304.86480055212616,4,12,53,2,17.461998840442625,141.09407105485067,107.9441451400443,2,0,121.71401683483518,149.78332729363797,93.24463231484593,Low,1023.8217298105573,10.941552025629559,304.8507950021488,3,5,20000,few clouds,156,Clear,8.095900034118461
ha noi,51,1268.803905961656,2025-03-06,195,102,Road maintenance,299.53696060859573,9,12,36,6,15.415380890412651,263.85614209158086,107.31654011953859,4,11,145.4753035833008,111.04204372158209,107.12111461301998,Low,1002.1424405630715,23.513004886456383,301.9966881266729,1,3,16612,clear sky,89,Clear,8.122327288523747
ha noi,65,1225.0363750996792,2025-03-07,236,106,Road maintenance,294.49872766874205,1,19,44,4,16.339494974237034,102.81063558007408,107.5846006816052,4,22,106.57646384816529,61.89611899766268,136.64290007655427,Moderate,1017.3505434076985,21.32234734122058,293.66607382764124,1,7,17725,clear sky,88,Clear,10.21728074625301
ha noi,67,977.7728415487405,2025-03-08,70,104,Other,307.6974456744064,10,18,37,7,15.376548736746203,210.67085007269785,108.4157671613694,4,33,64.25965565383744,75.64012363424939,48.73486997698386,Low,1004.1616100266081,17.879079616009633,308.7664820689648,4,3,19069,rain,167,Clouds,0.24235116377743426
da nang,57,864.5561421110441,2025-03-09,81,102,Heavy congestion,306.6567096798412,2,12,51,1,17.65828619415758,108.4471050898873,108.19289883285006,1,4,137.22363772690883,68.339395986358,136.4277003581121,High,1017.31371688381,8.27668661968742,295.92014192240424,5,7,20000,thunderstorm,171,Rain,6.270891272990555
da nang,20,1018.9594945209391,2025-03-10,192,107,Other,293.82963373376,4,3,32,7,16.519952512442906,102.05883266594614,109.15924063683819,2,58,83.1186415255262,104.55518122756706,128.51222068935382,Moderate,1007.1001756810933,26.085148174047294,297.73543513983816,4,2,12616,rain,98,Clear,5.194449350953343
da nang,17,1267.2894240759797,2025-03-11,44,108,Stationary traffic,303.404999152597,4,12,43,5,16.865846856339644,214.91742205319122,107.6204483403339,1,28,155.54310590690127,78.51128461639696,80.80879016017553,Moderate,1011.4468541240043,11.990945299395262,301.2364276196045,5,10,20000,thunderstorm,316,Thunderstorm,4.225467096488977
ho chi minh city,63,1012.1682512397437,2025-03-12,210,106,Other,299.53109674029713,5,16,56,2,17.34765121275952,171.3377010578607,108.86032886917535,2,20,125.24039025257038,95.26660871849835,57.40276616185464,High,1002.8505416504989,20.92632627314197,299.88675986777264,3,3,8092,rain,359,Clear,5.985899627273825
ho chi minh city,1,894.9203763245032,2025-03-13,191,104,Road maintenance,299.2018115816384,1,10,72,1,16.383577229691056,77.14726561374695,107.28934380530099,3,56,133.82313022463725,148.15280091737642,119.83718810725304,Low,1008.8208836468895,31.188468199122223,295.0861991262076,2,6,8421,rain,187,Rain,10.695174782303404
ho chi minh city,49,1237.688573172832,2025-03-14,175,104,Closed,297.6337404436986,5,13,60,9,16.179824901172392,225.56497422854153,107.81921900542024,1,46,69.53270155185533,114.56457112300755,60.14422326964799,Low,998.5954250725225,30.478872933265258,304.1491843825831,4,5,20000,scattered clouds,312,Clear,4.6563480985551
ha noi,42,1005.5069093758831,2025-03-15,188,104,Stationary traffic,311.587588501444,8,10,59,9,16.205970748995583,264.9598797435284,107.27364902246019,2,34,53.41010782326718,99.8237408418581,146.38130125026342,Low,1000.983492372645,19.358468846833283,302.93564535225744,5,7,9945,few clouds,36,Clouds,8.538398309715907
ho chi minh city,30,1385.8090843201796,2025-03-16,0,108,Road maintenance,298.9791662250855,2,9,47,2,17.057965471650522,178.32476773766035,109.89613333071989,3,43,131.79567233908725,91.34668974340123,131.81809428958104,Moderate,1017.2875395665285,23.06694313293056,301.5878073543609,1,7,20000,thunderstorm,48,Rain,8.336251494293501
ho chi minh city,12,1373.3625263585711,2025-03-17,268,106,Road maintenance,302.86765790540824,1,3,99,5,17.586116209731802,276.3631045452366,108.80825846806478,2,23,133.43657161004955,82.20380388131512,61.69723107478954,High,1002.4138463598858,18.939249386414268,306.4348996702717,4,2,20000,clear sky,161,Thunderstorm,0.4279305752736845
da nang,97,963.1825115274513,2025-03-18,85,106,Heavy congestion,298.8315788906433,10,9,75,7,16.771510607331948,308.3075567324991,107.36492233711594,1,47,125.8734586381331,76.47016612844365,143.22598612712235,Moderate,1020.2059012892536,26.185430824172176,302.28726653053405,5,7,6515,few clouds,41,Rain,3.53110737406032
da nang,65,852.3202581510799,2025-03-19,54,109,Closed,303.78081815463764,1,11,20,2,15.213314096415642,247.55729712492297,107.59693976287528,4,49,107.14203824668422,72.93172147084789,87.19436869084204,High,1009.8847692057121,29.163890341865862,299.15768001436385,2,4,7670,few clouds,223,Clouds,3.3073267191854994
ho chi minh city,43,857.8172197721249,2025-03-20,184,103,Heavy congestion,301.90996396087553,4,21,66,3,17.443077085921324,229.2565542794182,108.76529135802056,4,54,117.94845760447748,83.84446716930817,55.708924241026146,High,1016.8638786470162,12.548697130685783,311.22123027839353,4,5,17042,scattered clouds,153,Thunderstorm,3.1467041784171093
da nang,65,822.7269589733531,2025-03-21,13,108,Other,296.16186255145175,3,20,20,5,16.33622247021075,143.70168815536647,108.79822395719152,4,55,85.66861638334392,62.4023771719148,76.60724336890398,Moderate,1006.8006375488868,15.552343640634344,307.4605528741337,4,4,19075,few clouds,11,Thunderstorm,10.418341321037722
da nang,82,1228.062998573989,2025-03-22,198,105,Road maintenance,302.9908207715002,1,12,76,4,15.141254157151964,194.7155164792294,107.60340496253978,4,5,140.48123361056227,128.45814092786384,38.96449115847696,Moderate,1004.1449588959474,24.11660437961671,312.20783030520096,4,4,20000,clear sky,160,Thunderstorm,4.478038695517846
ho chi minh city,2,954.9671171202059,2025-03-23,21,102,Other,297.25103043908445,3,13,20,6,15.713752354771515,115.92350689399186,108.00782074437453,1,52,130.71456429066245,142.95166775089837,107.28360862907826,Moderate,1013.7082291540373,12.183003877197425,312.5420934551394,1,0,13803,thunderstorm,28,Clouds,5.803959063453879
ha noi,17,1247.8714914174009,2025-03-24,0,108,Other,305.9067973908716,8,13,31,1,16.16155309004144,257.5762803252903,108.36489506771765,2,19,70.19043539416177,96.54992433066695,58.61858853017054,Low,1022.2806189433196,29.20540230068504,297.7292130839431,1,8,20000,thunderstorm,132,Thunderstorm,6.830187324249726
ho chi minh city,99,1353.0595353803878,2025-03-25,300,106,Queuing traffic,299.20708936278646,8,16,83,4,15.635635461175776,148.41343426221567,108.17795331498559,2,9,159.9080037484546,68.0131513858856,156.07785451140697,Low,1012.1661466738399,7.686961683536197,308.4421312181966,4,9,11149,scattered clouds,347,Clear,5.336626662891222
ho chi minh city,48,1196.8724430700004,2025-03-26,39,108,Accident,295.95360688699435,4,16,66,4,17.67923834459598,240.88502574070137,109.55965389709039,4,57,73.21877824160842,104.80005643754794,87.94664950083894,High,1024.4651115049014,22.100186216926318,292.38995238291267,3,7,18013,rain,322,Thunderstorm,10.583866303037349
ha noi,38,1377.8741930737517,2025-03-27,240,103,Queuing traffic,296.7314880276189,8,4,37,7,17.335997765699183,202.74245729507842,109.75580680848925,3,39,121.60997268962201,137.6516345535622,87.54694595415887,Moderate,1003.6896232857339,28.122466109289597,299.14291012363384,2,0,15406,clear sky,49,Clouds,6.555641859877907
ho chi minh city,42,1264.1634179623002,2025-03-28,181,103,Other,302.5431064558408,10,22,64,5,17.74225549222257,50.79229967663031,108.88727899270043,1,17,90.86956392689557,115.2894354671426,62.70055694637245,High,1007.6090454246514,13.62887851087496,300.759320328959,3,3,19242,clear sky,168,Clear,10.062926664853991
